Office,Base_Location
MVP,ABRN8
MVP,AGYM5
MVP,Baldhill_Dam
MVP,ChippewaDiv_Dam
MVP,Clayton
MVP,Cooperstown
MVP,DAWM5
MVP,ELZM5
MVP,Highway75_Dam
MVP,LFKM5
MVP,LockDam_05
MVP,LockDam_02
MVP,MissHW_Gull
MVP,MOOM5S
MVP,MissHW_PineRiver
MVP,Muscoda
MVP,NWUM5
MVP,Rafferty_Dam
MVP,TraverseWR_Dam
MVP,ZUMM5
LRL,ALVK2
LRL,BKVI3
LRL,DUNK2
LRL,GRLK2
LRL,Barkley
LRL,Cairo
LRL,Kentucky
LRL,Newburgh
LRL,Olmsted
LRL,Boston
LRL,Catawba
LRL,Cincinnati
LRL,Buckhorn
LRL,Green
LRL,Taylorsville
