office,name,kind,unit,nation,active,aliases,nearest-city,time-zone,latitude,longitude,horizontal-datum,elevation,vertical-datum,state,county,bounding-office,map-label,public-name,long-name,type,published-latitude,published-longitude,description
LRL,Taylorsville-Lake,SITE,ft,United States,True,"[{'name': 'Agency Aliases-USGS Station Number', 'value': '03295597'}, {'name': 'Agency Aliases-USGS Station Number', 'value': '03295890-Lake'}, {'name': 'Agency Aliases-NIDID', 'value': 'KY00051-Lake'}]","Taylorsville, KY",US/Eastern,38.003568,-85.3065171,NAD27,466.84999999999997,NGVD29,KY,Spencer,LRL,Taylorsville Lake,,,,,,
LRL,Green-GRLK2,SITE,m,United States,True,"[{'name': 'Agency Aliases-NIDID', 'value': 'KY03007-GRLK2'}]","Cane Valley, KY",US/Eastern,37.2461111,-85.3391667,NAD27,203.6064,NGVD29,KY,Taylor,LRL,Green River Lake,,,,,,
LRL,Boston-BSNK2L,SITE,m,United States,True,"[{'name': 'Agency Aliases-DCP Platform ID', 'value': 'CE693326-BSNK2L'}, {'name': 'Agency Aliases-USGS Station Number', 'value': '03301500-BSNK2L'}]",,US/Eastern,37.767286111111,-85.70385,,122.048016,NGVD29,KY,Nelson,,,,,,,,
LRL,Green,PROJECT,ft,United States,True,"[{'name': 'Agency Aliases-NIDID', 'value': 'KY03007'}]","Cane Valley, KY",US/Eastern,37.2461111,-85.3391667,NAD27,668.0,NGVD29,KY,Taylor,LRL,Green River Lake,Green River Lake,Green,Corps Reservoir,,,
LRL,Taylorsville-Bypass02,SITE,m,United States,True,"[{'name': 'Agency Aliases-USGS Station Number', 'value': '03295890-Bypass02'}, {'name': 'Agency Aliases-NIDID', 'value': 'KY00051-Bypass02'}]","Taylorsville, KY",US/Eastern,38.003568,-85.3065171,NAD27,142.29588,NGVD29,KY,Spencer,LRL,Taylorsville Lake,,,,,,
LRL,Catawba,SITE,ft,United States,True,"[{'name': 'Agency Aliases-USGS Station Number', 'value': '03253500'}]","Falmouth, KY",US/Eastern,38.7103478,-84.3107693,NAD27,500.01,NGVD29,KY,Pendleton,LRL,Licking River at Catawba,"LICKING RIVER AT CATAWBA, KY","LICKING RIVER AT CATAWBA, KY",Stream Gauge,,,
LRL,Buckhorn-Lake,SITE,ft,United States,True,"[{'name': 'Agency Aliases-USGS Station Number', 'value': '03280800'}, {'name': 'Agency Aliases-NIDID', 'value': 'KY03027-Lake'}]","Buckhorn, KY",US/Eastern,37.3402778,-83.4691667,NAD27,757.0,NGVD29,KY,Perry,LRL,Buckhorn Lake,,,,,,
LRL,TaylorsvilleOH,SITE,m,United States,True,"[{'name': 'Agency Aliases-USGS Station Number', 'value': '03263000'}]",,America/New_York,,,,,,,,,,,,,,,
LRL,DUNK2S,SITE,ft,United States,True,[],,,,,,,,,,,,,,,,,
LRL,BKVI3,SITE,ft,United States,True,[],,,,,,,,,,,,,,,,,
