office,name,nearest-city,public-name,kind,time-zone,latitude,longitude,unit,nation,state,county,bounding-office,active,aliases,long-name,map-label,type,published-latitude,published-longitude,horizontal-datum,elevation,vertical-datum,description
MVP,LockDam_05-TainterGate23,Winona,Lock and Dam 05 Tainter Gate 23,OUTLET,US/Central,44.1616,-91.8116,ft,United States,WI,Buffalo,MVP,True,"[{'name': 'Agency Aliases-NIDID', 'value': 'MN00589-TainterGate23'}, {'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'MSCM5-TainterGate23'}, {'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'LockDam_05-TainterGate23'}, {'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'LockDam_05-TainterGate23'}]",Mississippi River Lock and Dam 05 Tainter Gate 23,Mississippi River Lock and Dam 05 Gate,Gate,0.0,0.0,NAD83,599.9999999999999,NAVD88,
MVP,TraverseWR_Dam-MainLake,Fergus Falls,"Mud Lake North of 670TH Street Near Wheaton, MN",SITE,US/Central,45.836055555556,-96.572944444444,ft,United States,MN,Traverse,MVP,True,"[{'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'TraverseWR_Dam-MainLake'}, {'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'WHRM5-MainLake'}, {'name': 'Agency Aliases-NIDID', 'value': 'MN00577-MainLake'}, {'name': 'Agency Aliases-USGS Station Number', 'value': '05049900'}, {'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'TraverseWR_Dam-MainLake'}, {'name': 'Agency Aliases-USGS Station Number', 'value': '05049995-MainLake'}]",White Rock Dam Main Lake Gage,White Rock Dam Main Lake Gage,,0.0,0.0,NAD83,899.9999999999999,LOCAL,"MUD LAKE NORTH OF 670TH STREET NEAR WHEATON, MN"
MVP,Highway75_Dam,Odessa,Highway 75 Dam,PROJECT,US/Central,45.248301,-96.29788,ft,United States,MN,Big Stone,MVP,True,"[{'name': 'RFC CHPS Aliases-Locations', 'value': 'ODAM5_CHPS'}, {'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'Highway75_Dam'}, {'name': 'Agency Aliases-NIDID', 'value': 'MN00581'}, {'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'Highway75_Dam'}]",Highway 75 Dam at Big Stone Lake and Whetstone River Project,Highway 75 Dam,Dam,0.0,0.0,NAD83,0.0,NGVD29,USACE Owned and Maintained
MVP,Baldhill_Dam-ServiceSpillway,Jamestown,Baldhill Dam Service Spillway,SITE,US/Central,47.0356524,-98.0813989,ft,United States,ND,Barnes,MVP,True,"[{'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'Baldhill_Dam-ServiceSpillway'}, {'name': 'Agency Aliases-NIDID', 'value': 'ND00309-ServiceSpillway'}, {'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'BLDN8-ServiceSpillway'}, {'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'Baldhill_Dam-ServiceSpillway'}, {'name': 'Agency Aliases-USGS Station Number', 'value': '05057500-ServiceSpillway'}]",,Baldhill Dam Service Spillway,,,,NAD83,0.0,NGVD29,
MVP,MissHW_Gull-SlideGate01,Brainerd,Gull Slide Gate 01,OUTLET,US/Central,46.4116,-94.3533,ft,United States,MN,Cass,MVP,True,"[{'name': 'Agency Aliases-NIDID', 'value': 'MN00596-SlideGate01'}, {'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'GLLM5-SlideGate01'}, {'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'MissHW_Gull-SlideGate01'}, {'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'MissHW_Gull-SlideGate01'}]",,Gull Lake Dam,,,,NAD83,1099.9999999999998,NGVD29,
MVP,LockDam_05-TainterGate25,Winona,Lock and Dam 05 Tainter Gate 25,OUTLET,US/Central,44.1616,-91.8116,ft,United States,WI,Buffalo,MVP,True,"[{'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'MSCM5-TainterGate25'}, {'name': 'Agency Aliases-NIDID', 'value': 'MN00589-TainterGate25'}, {'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'LockDam_05-TainterGate25'}, {'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'LockDam_05-TainterGate25'}]",Mississippi River Lock and Dam 05 Tainter Gate 25,Mississippi River Lock and Dam 05 Gate,Gate,0.0,0.0,NAD83,599.9999999999999,NAVD88,
MVP,LockDam_05a-Tailwater,Winona,Lock and Dam 05a Tailwater,SITE,US/Central,44.085038,-91.667549,ft,United States,WI,Buffalo,MVP,True,"[{'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'LockDam_05a-Tailwater'}, {'name': 'Agency Aliases-NIDID', 'value': 'MN00588-Tailwater'}, {'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'LockDam_05a-Tailwater'}, {'name': 'Agency Aliases-USGS Station Number', 'value': '05378490'}, {'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'WIDM5-Tailwater'}]",Mississippi River Lock and Dam 05a Tailwater,Mississippi River Lock and Dam 05a Tailwater,,0.0,0.0,NAD83,0.0,NAVD88,
MVP,LockDam_05-TainterGate27,Winona,Lock and Dam 05 Tainter Gate 27,OUTLET,US/Central,44.1616,-91.8116,ft,United States,WI,Buffalo,MVP,True,"[{'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'LockDam_05-TainterGate27'}, {'name': 'Agency Aliases-NIDID', 'value': 'MN00589-TainterGate27'}, {'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'LockDam_05-TainterGate27'}, {'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'MSCM5-TainterGate27'}]",Mississippi River Lock and Dam 05 Tainter Gate 27,Mississippi River Lock and Dam 05 Gate,Gate,0.0,0.0,NAD83,599.9999999999999,NAVD88,
MVP,LockDam_05a-CP_LD05TW,Winona,Lock Dam 05a Ctrl Point,SITE,US/Central,44.0883,-91.6699,ft,United States,WI,Buffalo,MVP,True,"[{'name': 'Agency Aliases-NIDID', 'value': 'MN00588-CP_LD05TW'}, {'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'LockDam_05a-CP_LD05TW'}, {'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'LockDam_05a-CP_LD05TW'}, {'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'WIDM5-CP_LD05TW'}]",,Mississippi River Lock and Dam 05a,,0.0,0.0,NAD83,599.9999999999999,NAVD88,
MVP,ZUMM5,Rochester,Zumbro River at Zumbro Falls,SITE,US/Central,44.2867,-92.4322,m,United States,MN,Wabasha,MVP,True,"[{'name': 'Agency Aliases-USGS Station Number', 'value': '05374000'}, {'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'ZUMM5'}, {'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'ZUMM5'}, {'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'ZUMM5'}]","Zumbro River at Zumbro Falls, MN",,DCP Gage,,,,247.272048,LOCAL,
