,office,ts_id
0,LRL,Taylorsville-Lake.Elev.Inst.15Minutes.0.LRGS-raw
1,LRL,Taylorsville-Lake.Elev.Inst.15Minutes.0.LRGS-rev
2,LRL,Taylorsville-Lake.Elev.Inst.5Minutes.0.LRGS-raw
3,LRL,Taylorsville-Lake.Elev.Inst.5Minutes.0.LRGS-rev
4,LRL,Taylorsville-Lake.Elev.Inst.5Minutes.0.USGS-raw
5,LRL,Taylorsville-Lake.Elev.Inst.5Minutes.0.USGS-rev
6,LRL,Taylorsville-Lake.Precip.Inst.15Minutes.0.LRGS-raw
7,LRL,Taylorsville-Lake.Precip.Inst.5Minutes.0.LRGS-raw
8,LRL,Taylorsville-Lake.Precip.Total.5Minutes.5Minutes.USGS-raw
9,LRL,Taylorsville-Lake.Precip.Total.5Minutes.5Minutes.USGS-rev
10,LRL,Taylorsville-Lake.Temp-Water.Inst.15Minutes.0.USGS-raw
11,LRL,Taylorsville-Lake.Temp-Water.Inst.15Minutes.0.USGS-rev
12,LRL,BowlingGreenIN.Flow.Inst.15Minutes.0.LRGS-comp
13,LRL,BowlingGreenIN.Flow.Inst.15Minutes.0.USGS-raw
14,LRL,BowlingGreenIN.Flow.Inst.15Minutes.0.USGS-rev
15,LRL,BowlingGreenIN.Stage.Inst.15Minutes.0.LRGS-raw
16,LRL,BowlingGreenIN.Stage.Inst.15Minutes.0.LRGS-rev
17,LRL,BowlingGreenIN.Stage.Inst.15Minutes.0.USGS-raw
18,LRL,BowlingGreenIN.Stage.Inst.15Minutes.0.USGS-rev
19,LRL,BowlingGreenIN.Stage.Inst.~1Day.0.lrldlb-raw
20,LRL,BowlingGreenIN.Stage.Inst.~1Day.0.lrldlb-rev
21,LRL,BowlingGreenKY.Flow.Inst.15Minutes.0.LRGS-comp
22,LRL,BowlingGreenKY.Flow.Inst.15Minutes.0.USGS-raw
23,LRL,BowlingGreenKY.Flow.Inst.15Minutes.0.USGS-rev
24,LRL,BowlingGreenKY.Precip.Inst.15Minutes.0.LRGS-raw
25,LRL,BowlingGreenKY.Precip.Total.15Minutes.15Minutes.USGS-raw
26,LRL,BowlingGreenKY.Precip.Total.15Minutes.15Minutes.USGS-rev
27,LRL,BowlingGreenKY.Stage.Inst.15Minutes.0.LRGS-raw
28,LRL,BowlingGreenKY.Stage.Inst.15Minutes.0.LRGS-rev
29,LRL,BowlingGreenKY.Stage.Inst.15Minutes.0.USGS-raw
30,LRL,BowlingGreenKY.Stage.Inst.15Minutes.0.USGS-rev
31,LRL,BowlingGreenKY.Stage.Inst.~1Day.0.lrldlb-raw
32,LRL,BowlingGreenKY.Stage.Inst.~1Day.0.lrldlb-rev
33,LRL,GREENUP-GNUK2.Code-Ice.Inst.0.0.LPMS-raw
34,LRL,GREENUP-GNUK2.Code-Weather.Inst.0.0.LPMS-raw
35,LRL,GREENUP-GNUK2.Count-Hydropower-Units.Inst.0.0.LPMS-raw
36,LRL,GREENUP-GNUK2.Dir-Wind.Inst.0.0.LPMS-raw
37,LRL,GREENUP-GNUK2.Flow-Hydropower.Inst.0.0.LPMS-raw
38,LRL,GREENUP-GNUK2.Flow-Total.Inst.0.0.LPMS-comp
39,LRL,GREENUP-GNUK2.Opening-Gate-Total.Inst.0.0.LPMS-raw
40,LRL,GREENUP-GNUK2.Precip.Total.0.1Day.LPMS-raw
41,LRL,GREENUP-GNUK2.Speed-Wind.Inst.0.0.LPMS-raw
42,LRL,GREENUP-GNUK2.Stage-Headwater.Inst.0.0.LPMS-raw
43,LRL,GREENUP-GNUK2.Stage-Headwater.Inst.1Day.0.LPMS-comp
44,LRL,GREENUP-GNUK2.Stage-Tailwater.Inst.0.0.LPMS-raw
45,LRL,GREENUP-GNUK2.Stage-Tailwater.Inst.1Day.0.LPMS-comp
46,LRL,GREENUP-GNUK2.Temp-Air.Inst.0.0.LPMS-raw
47,LRL,GREENUP-GNUK2.Temp-Water.Inst.0.0.LPMS-raw
48,LRL,Green-Lake.Elev.Inst.15Minutes.0.LRGS-raw
49,LRL,Green-Lake.Elev.Inst.15Minutes.0.LRGS-rev
50,LRL,Green-Lake.Elev.Inst.5Minutes.0.LRGS-raw
51,LRL,Green-Lake.Elev.Inst.5Minutes.0.LRGS-rev
52,LRL,Green-Lake.Elev.Inst.5Minutes.0.USGS-raw
53,LRL,Green-Lake.Elev.Inst.5Minutes.0.USGS-rev
54,LRL,Green-Lake.Precip.Inst.15Minutes.0.LRGS-raw
55,LRL,Green-Lake.Stage.Inst.15Minutes.0.LRGS-raw
56,LRL,Green-Lake.Stage.Inst.15Minutes.0.LRGS-rev
57,LRL,Green-Lake.Stage.Inst.5Minutes.0.LRGS-raw
58,LRL,Green-Lake.Stage.Inst.5Minutes.0.LRGS-rev
59,LRL,Green-Lake.Stage.Inst.5Minutes.0.USGS-raw
60,LRL,Green-Lake.Stage.Inst.5Minutes.0.USGS-rev
