office,ts_id
LRL,Taylorsville-Lake.Elev.Inst.15Minutes.0.LRGS-raw
LRL,Taylorsville-Lake.Elev.Inst.15Minutes.0.LRGS-rev
LRL,Taylorsville-Lake.Elev.Inst.5Minutes.0.LRGS-raw
LRL,Taylorsville-Lake.Elev.Inst.5Minutes.0.LRGS-rev
LRL,Taylorsville-Lake.Elev.Inst.5Minutes.0.USGS-raw
LRL,Taylorsville-Lake.Elev.Inst.5Minutes.0.USGS-rev
LRL,BowlingGreenKY.Flow.Inst.15Minutes.0.LRGS-comp
LRL,BowlingGreenKY.Flow.Inst.15Minutes.0.USGS-raw
LRL,BowlingGreenKY.Flow.Inst.15Minutes.0.USGS-rev
LRL,BowlingGreenKY.Stage.Inst.15Minutes.0.LRGS-raw
LRL,BowlingGreenKY.Stage.Inst.15Minutes.0.LRGS-rev
LRL,BowlingGreenKY.Stage.Inst.15Minutes.0.USGS-raw
LRL,BowlingGreenKY.Stage.Inst.15Minutes.0.USGS-rev
LRL,BowlingGreenKY.Stage.Inst.~1Day.0.lrldlb-raw
LRL,BowlingGreenKY.Stage.Inst.~1Day.0.lrldlb-rev
LRL,Green-Lake.Elev.Inst.15Minutes.0.LRGS-raw
LRL,Green-Lake.Elev.Inst.15Minutes.0.LRGS-rev
LRL,Green-Lake.Elev.Inst.5Minutes.0.LRGS-raw
LRL,Green-Lake.Elev.Inst.5Minutes.0.LRGS-rev
LRL,Green-Lake.Elev.Inst.5Minutes.0.USGS-raw
LRL,Green-Lake.Elev.Inst.5Minutes.0.USGS-rev
LRL,Green-Lake.Stage.Inst.15Minutes.0.LRGS-raw
LRL,Green-Lake.Stage.Inst.15Minutes.0.LRGS-rev
LRL,Green-Lake.Stage.Inst.5Minutes.0.LRGS-raw
LRL,Green-Lake.Stage.Inst.5Minutes.0.LRGS-rev
LRL,Green-Lake.Stage.Inst.5Minutes.0.USGS-raw
LRL,Green-Lake.Stage.Inst.5Minutes.0.USGS-rev
LRL,Green.Elev.Inst.0.0.lrldlb-raw
LRL,Green.Elev.Inst.0.0.lrldlb-rev
LRL,Green.Elev.Inst.0.0.radar-test
LRL,Green.Elev.Inst.15Minutes.0.LRGS-raw
LRL,Green.Elev.Inst.15Minutes.0.LRGS-rev
LRL,Green.Elev.Inst.1Hour.0.LRL-cavi-fct
LRL,Green.Elev.Inst.1Hour.0.National-CWMS-Forecast
LRL,Green.Elev.Inst.1Hour.0.lrldlb-comp
LRL,Green.Elev.Inst.~1Day.0.LRL-cavi-fct
LRL,Green.Flow-BP1.Inst.0.0.lrldlb-comp
LRL,Green.Flow-BP1.Inst.1Hour.0.lrldlb-comp
LRL,Green.Flow-BP2.Inst.0.0.lrldlb-comp
LRL,Green.Flow-BP2.Inst.1Hour.0.lrldlb-comp
LRL,Green.Flow-Inflow.Ave.1Hour.1Hour.lrldlb-comp
LRL,Green.Flow-Inflow.Ave.1Hour.6Hours.lrldlb-comp
LRL,Green.Flow-Inflow.Inst.1Hour.0.National-CWMS-Forecast
LRL,Green.Flow-MG1.Inst.0.0.lrldlb-comp
LRL,Green.Flow-MG1.Inst.1Hour.0.lrldlb-comp
LRL,Green.Flow-Outflow.Ave.1Hour.1Hour.lrldlb-comp
LRL,Green.Flow-Outflow.Inst.0.0.lrldlb-comp
LRL,Green.Flow-Outflow.Inst.1Hour.0.LRL-cavi-fct
LRL,Green.Flow-Outflow.Inst.1Hour.0.National-CWMS-Forecast
LRL,Green.Flow-Outflow.Inst.1Hour.0.lrldlb-comp
LRL,Green.Flow-Outflow.Inst.~1Day.0.LRL-cavi-fct
LRL,Green.Opening-BP1.Inst.0.0.lrldlb-fct
LRL,Green.Opening-BP1.Inst.0.0.lrldlb-raw
LRL,Green.Opening-BP1.Inst.0.0.lrldlb-rev
LRL,Green.Opening-BP1.Inst.0.0.radar-test
LRL,Green.Opening-BP1.Inst.1Hour.0.lrldlb-comp
LRL,Green.Opening-BP2.Inst.0.0.lrldlb-fct
LRL,Green.Opening-BP2.Inst.0.0.lrldlb-raw
LRL,Green.Opening-BP2.Inst.0.0.lrldlb-rev
LRL,Green.Opening-BP2.Inst.0.0.radar-test
LRL,Green.Opening-BP2.Inst.1Hour.0.lrldlb-comp
LRL,Green.Opening-L1.Inst.0.0.lrldlb-fct
LRL,Green.Opening-L1.Inst.0.0.lrldlb-raw
LRL,Green.Opening-L1.Inst.0.0.lrldlb-rev
LRL,Green.Opening-L1.Inst.0.0.radar-test
LRL,Green.Opening-L1.Inst.1Hour.0.lrldlb-comp
LRL,Green.Opening-L2.Inst.0.0.lrldlb-fct
LRL,Green.Opening-L2.Inst.0.0.lrldlb-raw
LRL,Green.Opening-L2.Inst.0.0.lrldlb-rev
LRL,Green.Opening-L2.Inst.0.0.radar-test
LRL,Green.Opening-L2.Inst.1Hour.0.lrldlb-comp
LRL,Green.Opening-MG1.Inst.0.0.lrldlb-fct
LRL,Green.Opening-MG1.Inst.0.0.lrldlb-raw
LRL,Green.Opening-MG1.Inst.0.0.lrldlb-rev
LRL,Green.Opening-MG1.Inst.0.0.radar-test
LRL,Green.Opening-MG1.Inst.1Hour.0.lrldlb-comp
LRL,Green.Opening-MG2.Inst.0.0.lrldlb-raw
LRL,Green.Opening-MG2.Inst.0.0.lrldlb-rev
LRL,Green.Opening-MG2.Inst.1Hour.0.lrldlb-comp
LRL,Green.Stage-Tailwater.Inst.0.0.lrldlb-raw
LRL,Green.Stage-Tailwater.Inst.0.0.radar-test
LRL,Green.Stage.Inst.15Minutes.0.LRGS-raw
LRL,Green.Stage.Inst.15Minutes.0.LRGS-rev
LRL,Green.Stor.Inst.1Hour.0.lrldlb-comp
LRL,Greensburg.Flow.Inst.15Minutes.0.LRGS-comp
LRL,Greensburg.Precip.Inst.15Minutes.0.LRGS-raw
LRL,Greensburg.Precip.Total.15Minutes.15Minutes.USGS-raw
LRL,Greensburg.Precip.Total.15Minutes.15Minutes.USGS-rev
LRL,Greensburg.Stage.Inst.15Minutes.0.LRGS-raw
LRL,Greensburg.Stage.Inst.15Minutes.0.LRGS-rev
LRL,Greensburg.Stage.Inst.15Minutes.0.USGS-raw
LRL,Greensburg.Stage.Inst.15Minutes.0.USGS-rev
LRL,Greensburg.Stage.Inst.~1Day.0.lrldlb-raw
LRL,Greensburg.Stage.Inst.~1Day.0.lrldlb-rev
LRL,Greensburg.Stage.Inst.~1Day.0.radar-test
LRL,Catawba.Flow.Inst.15Minutes.0.LRGS-comp
LRL,Catawba.Flow.Inst.15Minutes.0.USGS-raw
LRL,Catawba.Flow.Inst.15Minutes.0.USGS-rev
LRL,Catawba.Flow.Inst.~1Day.0.LRL-cavi-fct
LRL,Catawba.Stage.Inst.15Minutes.0.LRGS-raw
LRL,Catawba.Stage.Inst.15Minutes.0.LRGS-rev
LRL,Catawba.Stage.Inst.15Minutes.0.USGS-raw
LRL,Catawba.Stage.Inst.15Minutes.0.USGS-rev
LRL,Catawba.Stage.Inst.~1Day.0.lrldlb-raw
LRL,Catawba.Stage.Inst.~1Day.0.lrldlb-rev
LRL,Buckhorn-Lake.Elev.Inst.15Minutes.0.LRGS-raw
LRL,Buckhorn-Lake.Elev.Inst.5Minutes.0.LRGS-raw
